Planet number, Real Period, Calculated Period, Period uncertainty, Result, Real t0, t0 calculated, t0 result, TLS outcome, G2 star
Planet A1.65,  53.82215385050472, 21.05558 d, 0.004517501571520199, Wrong Period,  26.738717316672307 d, 17.42288 d, Wrong t0 value, Transit not found
Planet A1.66,  24.803033140787583, nan d, -182.1917299712955, Wrong Period,  15.054392818370944 d, no values d, Wrong t0 value, Transit not found
Planet A1.67,  2.4769913632846725, 2.47703 d, 0.0006943468784876838, Correct Period,  0.038060285999653075 d, 1.04034 d, Correct t0 value, Found Correct Transit
Planet A1.68,  71.49407065528037, nan d, -182.1917299712955, Wrong Period,  70.38102538945519 d, no values d, Wrong t0 value, Transit not found
Planet A1.69,  17.472660663824, 21.05558 d, 0.004517501571520199, Correct Period,  17.112494648835302 d, 17.42288 d, Correct t0 value, Found Correct Transit
Planet A1.70,  13.412958827707392, 2.87496 d, 0.00021173171256516632, Wrong Period,  3.660666907925682 d, 1.68019 d, Correct t0 value, Transit not found
Planet A1.71,  28.845172164161355, 65.01225 d, 0.020306441815279186, Wrong Period,  14.837917850722146 d, 27.48720 d, Wrong t0 value, Transit not found
Planet A1.72,  12.902632135362804, 2.87496 d, 0.00021173171256516632, Wrong Period,  2.505547380968027 d, 1.68019 d, Correct t0 value, Transit not found
Planet A1.73,  34.29663830157533, 65.01225 d, 0.020306441815279186, Wrong Period,  17.591617558076354 d, 27.48720 d, Wrong t0 value, Transit not found
Planet A1.74,  13.990101705904124, 21.05558 d, 0.004517501571520199, Wrong Period,  11.263168230096726 d, 17.42288 d, Wrong t0 value, Transit not found
Planet A1.75,  36.620432725432174, 65.01225 d, 0.020306441815279186, Wrong Period,  4.121977663661256 d, 27.48720 d, Wrong t0 value, Transit not found
Planet A1.76,  20.236655126069962, 65.01225 d, 0.020306441815279186, Wrong Period,  18.501576712286948 d, 27.48720 d, Wrong t0 value, Transit not found
Planet A1.77,  56.286460724692795, 21.05558 d, 0.004517501571520199, Wrong Period,  4.573581095360207 d, 17.42288 d, Wrong t0 value, Transit not found
Planet A1.78,  8.715152156615064, 105.68666 d, 0.025880312253548254, Wrong Period,  1.568287049186853 d, 37.36488 d, Wrong t0 value, Transit not found
Planet A1.79,  40.834471998317625, 7.99926 d, 0.001657190366949557, Wrong Period,  30.123858798907964 d, 0.45280 d, Wrong t0 value, Transit not found
Planet A1.80,  71.56469113658997, 21.02550 d, 0.007513396378149295, Wrong Period,  56.94011055911067 d, 17.64964 d, Wrong t0 value, Transit not found
Planet A1.81,  9.086986128972201, 0.90034 d, 4.5028377214595405e-05, Wrong Period,  8.998667312183326 d, 0.45608 d, Wrong t0 value, Transit not found
Planet A1.82,  57.03683010248098, 218.41384 d, 0.17035172894780715, Wrong Period,  55.22761348688031 d, 113.85365 d, Wrong t0 value, Transit not found
Planet A1.83,  19.796657178072717, 2.44042 d, 0.00017017448104117427, Wrong Period,  11.117989921549995 d, 0.79090 d, Wrong t0 value, Transit not found
Planet A1.84,  10.909181247439589, 0.90034 d, 4.5028377214595405e-05, Wrong Period,  7.198727394702481 d, 0.45593 d, Wrong t0 value, Transit not found
Planet A1.85,  24.441540914696137, 8.45410 d, 0.0008920020311187216, Wrong Period,  10.721263040045764 d, 1.70732 d, Wrong t0 value, Transit not found
Planet A1.86,  65.79518807052595, 65.01225 d, 0.020306441815279186, Correct Period,  6.830736201960229 d, 27.48720 d, Wrong t0 value, Transit not found
