Planet number, Real Period, Calculated Period, Period uncertainty, Result, Real t0, t0 calculated, t0 result, TLS outcome, G8 star
Planet A1.57,  12.773980997052819, 360.03184 d, 0.19903453806375637, Wrong Period,  10.956296602079204 d, 359.94316 d, Wrong t0 value, Transit not found
Planet A1.58,  4.657557723259909, 4.65745 d, 0.0012084012821351742, Correct Period,  3.9060902155692823 d, 3.93059 d, Correct t0 value, Found Correct Transit
Planet A1.59,  2.308151467146524, 226.72572 d, 0.286420362973999, Wrong Period,  2.172100944585233 d, 176.83338 d, Wrong t0 value, Transit not found
Planet A1.60,  39.2623554843279, 1.51466 d, 0.00013513516619534371, Wrong Period,  31.082598641055963 d, 0.62009 d, Wrong t0 value, Transit not found
Planet A1.61,  16.147293265678492, 226.72572 d, 0.25056502268488146, Wrong Period,  7.235838903013012 d, 176.83338 d, Wrong t0 value, Transit not found
Planet A1.62,  26.15766912024997, 359.76665 d, 1.2611771681359585, Wrong Period,  0.28038852277157505 d, 134.84607 d, Wrong t0 value, Transit not found
Planet A1.63,  15.240353438069265, 360.03184 d, 0.19903453806375637, Wrong Period,  7.628033031289985 d, 359.94316 d, Wrong t0 value, Transit not found
Planet A1.64,  12.986211279188245, 12.98538 d, 0.005533316182121162, Correct Period,  8.384475628483488 d, 8.38318 d, Correct t0 value, Found Correct Transit
Planet A1.65,  3.3813992830865365, 202.78504 d, 0.2778439482053443, Wrong Period,  2.4578410962619865 d, 179.72285 d, Wrong t0 value, Transit not found
Planet A1.66,  12.874775244279938, 251.68550 d, 0.4523758075343238, Wrong Period,  5.19556820583072 d, 226.36842 d, Wrong t0 value, Transit not found
Planet A1.67,  18.78439039086256, 226.72572 d, 0.25056502268488146, Wrong Period,  5.264439078555874 d, 176.83338 d, Wrong t0 value, Transit not found
Planet A1.68,  25.082340573521915, 203.03206 d, 0.3400008742374041, Wrong Period,  13.31953371048871 d, 179.47116 d, Wrong t0 value, Transit not found
Planet A1.69,  55.42466054108964, 4.82069 d, 0.0008435640949762124, Wrong Period,  47.09597571104459 d, 4.77774 d, Wrong t0 value, Transit not found
Planet A1.70,  16.338457639837152, 16.33762 d, 0.004294286958911542, Correct Period,  14.004113693559997 d, 14.01125 d, Correct t0 value, Found Correct Transit
Planet A1.71,  51.41196124407589, 4.82069 d, 0.0008435640949762124, Wrong Period,  14.792647842845962 d, 4.77774 d, Wrong t0 value, Transit not found
Planet A1.72,  7.236786564484604, 220.05707 d, 0.10323766871574946, Wrong Period,  5.890424995412259 d, 59.59636 d, Wrong t0 value, Transit not found
Planet A1.73,  50.843489597420785, 9.01951 d, 0.0019448380665956222, Wrong Period,  8.955202926133635 d, 0.79482 d, Wrong t0 value, Transit not found
Planet A1.74,  30.58679137416731, 1.12969 d, 6.093813467600295e-05, Wrong Period,  16.416924168164925 d, 0.60742 d, Wrong t0 value, Transit not found
Planet A1.75,  51.59195811676548, 1.51466 d, 0.00013513516619534371, Wrong Period,  50.95038791467855 d, 0.62009 d, Wrong t0 value, Transit not found
Planet A1.76,  12.702527015259928, 12.70187 d, 0.0030704316573215706, Correct Period,  11.774103651602248 d, 11.78154 d, Correct t0 value, Found Correct Transit
Planet A1.77,  61.942850023701055, 61.93153 d, 0.044424144848179026, Correct Period,  48.10786626078041 d, 48.15264 d, Correct t0 value, Found Correct Transit
Planet A1.78,  57.35648328685198, 4.82069 d, 0.0008435640949762124, Wrong Period,  13.42344064279702 d, 0.83077 d, Wrong t0 value, Transit not found
Planet A1.79,  19.64013859710102, 19.64086 d, 0.009607238057888878, Correct Period,  0.14620009277571278 d, 0.12913 d, Correct t0 value, Found Correct Transit
Planet A1.80,  59.09303979868869, 225.51278 d, 0.4978733154336368, Wrong Period,  9.63509489999577 d, 43.51719 d, Wrong t0 value, Transit not found
Planet A1.81,  60.00292116609544, 360.29728 d, 1.526691376245708, Wrong Period,  32.762040030922854 d, 134.54295 d, Wrong t0 value, Transit not found
Planet A1.82,  57.78644904173091, 2.04368 d, 0.00013432601097074226, Wrong Period,  50.75042522580351 d, 1.03221 d, Wrong t0 value, Transit not found
Planet A1.83,  26.80957876408169, 1.51466 d, 0.00013513516619534371, Wrong Period,  16.704377562560264 d, 0.62009 d, Wrong t0 value, Transit not found
Planet A1.84,  23.32521698299392, 225.51278 d, 0.5333237270027809, Wrong Period,  9.091823479720077 d, 43.54750 d, Wrong t0 value, Transit not found
Planet A1.85,  8.127869909793208, 202.97027 d, 0.3397249976594452, Wrong Period,  0.5080732986036705 d, 179.53665 d, Wrong t0 value, Transit not found
Planet A1.86,  9.221808137142121, 202.97027 d, 0.3089035266817177, Wrong Period,  4.836722459904739 d, 179.52566 d, Wrong t0 value, Transit not found
Planet A1.87,  13.794527304565927, 360.03184 d, 0.19903453806375637, Wrong Period,  5.8448767738081395 d, 359.94316 d, Wrong t0 value, Transit not found
Planet A1.88,  55.70569629403424, 203.09388 d, 0.4333439749080412, Wrong Period,  39.41103741805166 d, 179.40982 d, Wrong t0 value, Transit not found
Planet A1.89,  0.1336695712331304, 0.66834 d, 6.052985973054037e-05, Correct Period,  0.10308245403285925 d, 0.10511 d, Correct t0 value, Found Correct Transit
Planet A1.90,  68.2340468468477, 17.05352 d, 0.005683241951569329, Wrong Period,  64.57450741266459 d, 13.59072 d, Wrong t0 value, Transit not found
Planet A1.91,  16.299671518210243, 359.76665 d, 0.8624847331975616, Wrong Period,  9.740766438191233 d, 134.84607 d, Wrong t0 value, Transit not found
Planet A1.92,  5.141941534733293, 5.14218 d, 0.0013790933854163079, Correct Period,  0.024844545860319485 d, 0.01490 d, Correct t0 value, Found Correct Transit
