Planet number, Real Period, Calculated Period, Period uncertainty, Result, Real t0, t0 calculated, t0 result, TLS outcome, F5 star
Planet A1.65,  35.92342636540914, 1.11012 d, 5.953427598914818e-05, Wrong Period,  7.220112795436344 d, 0.57639 d, Wrong t0 value, Transit not found
Planet A1.66,  61.33682475998246, 1.11012 d, 5.953427598914818e-05, Wrong Period,  10.328475029779776 d, 0.57639 d, Wrong t0 value, Transit not found
Planet A1.67,  72.47333408290882, 1.11012 d, 5.953427598914818e-05, Wrong Period,  61.67642336327801 d, 0.57639 d, Wrong t0 value, Transit not found
Planet A1.68,  52.92437339440054, 215.17614 d, 0.23369339753662643, Wrong Period,  38.19126534174057 d, 154.48152 d, Wrong t0 value, Transit not found
Planet A1.69,  36.95573912746495, 73.14517 d, 0.015843705539012376, Wrong Period,  5.737996109347089 d, 46.64299 d, Wrong t0 value, Transit not found
Planet A1.70,  20.395948959639295, 2.08451 d, 0.00020686544102077598, Wrong Period,  5.729639387627174 d, 1.03909 d, Correct t0 value, Transit not found
Planet A1.71,  0.19541683615719452, 215.17614 d, 0.2002671647637726, Wrong Period,  0.18359064920675983 d, 154.49036 d, Wrong t0 value, Transit not found
Planet A1.72,  18.636028275832377, 149.64438 d, 0.12349149835625894, Wrong Period,  15.028023575924301 d, 134.76987 d, Wrong t0 value, Transit not found
Planet A1.73,  51.94299069102344, 27.58906 d, 0.00431775921251365, Wrong Period,  8.243679859684516 d, 2.68287 d, Wrong t0 value, Transit not found
Planet A1.74,  33.98533075815641, 72.59343 d, 0.023523451092231085, Wrong Period,  30.666044711946085 d, 4.21859 d, Wrong t0 value, Transit not found
Planet A1.75,  65.83550229113858, 27.58906 d, 0.00431775921251365, Wrong Period,  15.097988439007212 d, 2.68287 d, Wrong t0 value, Transit not found
Planet A1.76,  58.637255975588594, 1.11012 d, 5.953427598914818e-05, Wrong Period,  13.001589801492964 d, 0.57639 d, Wrong t0 value, Transit not found
Planet A1.77,  54.86615447078148, 1.11012 d, 5.953427598914818e-05, Wrong Period,  25.452382236045295 d, 0.57639 d, Wrong t0 value, Transit not found
Planet A1.78,  24.092179530520184, 280.92355 d, 0.19058563922934013, Wrong Period,  16.967250265510565 d, 23.05959 d, Wrong t0 value, Transit not found
Planet A1.79,  47.870353544384216, 4.88967 d, 0.0004298482404396786, Wrong Period,  30.17408334429279 d, 2.03753 d, Wrong t0 value, Transit not found
Planet A1.80,  44.307019343888484, 1.11012 d, 5.953427598914818e-05, Wrong Period,  20.821721854064652 d, 0.57639 d, Wrong t0 value, Transit not found
Planet A1.81,  8.239135808128829, 1.11012 d, 5.953427598914818e-05, Wrong Period,  6.369689317637574 d, 0.57639 d, Wrong t0 value, Transit not found
Planet A1.82,  26.147508516658572, 4.88967 d, 0.0004298482404396786, Wrong Period,  17.838234143698024 d, 2.03733 d, Wrong t0 value, Transit not found
Planet A1.83,  59.288745983353486, 217.66616 d, 0.06781573770078353, Wrong Period,  28.726116707079488 d, 70.92727 d, Wrong t0 value, Transit not found
Planet A1.84,  57.229544598001006, 4.88967 d, 0.0004298482404396786, Wrong Period,  45.398682028584666 d, 2.03753 d, Wrong t0 value, Transit not found
Planet A1.85,  44.528037988243376, 2.08451 d, 0.00020686544102077598, Wrong Period,  5.891887808497475 d, 1.04936 d, Correct t0 value, Transit not found
Planet A1.86,  59.64123703236396, 1.11012 d, 5.953427598914818e-05, Wrong Period,  3.762165439891732 d, 0.50996 d, Correct t0 value, Transit not found
Planet A1.87,  2.364083906607478, 202.66168 d, 0.06165544684846225, Wrong Period,  0.5698855299382621 d, 179.58021 d, Wrong t0 value, Transit not found
Planet A1.88,  7.331789555107168, 62.09680 d, 0.012736053815672221, Wrong Period,  2.3573793973818655 d, 8.71999 d, Wrong t0 value, Transit not found
Planet A1.89,  62.704274791158866, 72.59343 d, 0.03136008521040168, Wrong Period,  15.715379371970485 d, 4.21859 d, Wrong t0 value, Transit not found
Planet A1.90,  72.6730756930551, 2.08451 d, 0.00020686544102077598, Wrong Period,  56.137808193229105 d, 1.04851 d, Wrong t0 value, Transit not found
Planet A1.91,  32.03576768474954, 27.58906 d, 0.00431775921251365, Correct Period,  28.573350255183552 d, 14.29359 d, Wrong t0 value, Transit not found
Planet A1.92,  3.3906613097463234, 27.58906 d, 0.00431775921251365, Wrong Period,  3.2539700530887723 d, 2.68287 d, Correct t0 value, Transit not found
Planet A1.93,  10.288528657749897, 72.59343 d, 0.023523451092231085, Wrong Period,  5.526517633453338 d, 4.21859 d, Correct t0 value, Transit not found
Planet A1.94,  61.159883678500016, 2.08451 d, 0.00020686544102077598, Wrong Period,  51.86759210084648 d, 1.04936 d, Wrong t0 value, Transit not found
Planet A1.95,  44.16681942028385, 73.14517 d, 0.015843705539012376, Wrong Period,  8.059343946015769 d, 46.60692 d, Wrong t0 value, Transit not found
Planet A1.96,  63.63048637136387, 1.35103 d, 7.735662647978536e-05, Wrong Period,  58.17493946867809 d, 1.30058 d, Wrong t0 value, Transit not found
Planet A1.97,  59.071230172899035, 215.17614 d, 0.23369339753662643, Wrong Period,  15.442523359358564 d, 154.49036 d, Wrong t0 value, Transit not found
Planet A1.98,  66.14095659038585, 81.10903 d, 0.027272684084799437, Wrong Period,  53.10039076698855 d, 53.36979 d, Correct t0 value, Transit not found
Planet A1.99,  27.870552674629547, 280.92355 d, 0.19058563922934013, Wrong Period,  25.937111721362932 d, 23.05959 d, Correct t0 value, Transit not found
Planet A1.100,  12.08695446251076, 73.14517 d, 0.015843705539012376, Wrong Period,  1.3480062089754987 d, 46.64299 d, Wrong t0 value, Transit not found
Planet A2.1,  64.4178335688027, 4.88967 d, 0.0004298482404396786, Wrong Period,  2.5612552707223926 d, 2.03753 d, Correct t0 value, Transit not found
Planet A2.2,  19.274307879879068, 73.14517 d, 0.015843705539012376, Wrong Period,  5.8494940506450375 d, 46.64299 d, Wrong t0 value, Transit not found
Planet A2.3,  48.258141465000776, 27.58906 d, 0.00431775921251365, Wrong Period,  34.33271752814871 d, 14.28112 d, Wrong t0 value, Transit not found
Planet A2.4,  8.923044022011348, 1.11012 d, 5.953427598914818e-05, Wrong Period,  5.622847567536593 d, 0.57639 d, Wrong t0 value, Transit not found
Planet A2.5,  40.55663928667589, 4.88967 d, 0.0004298482404396786, Wrong Period,  18.766167714364194 d, 2.03733 d, Wrong t0 value, Transit not found
Planet A2.6,  48.22157926433031, 1.11012 d, 5.953427598914818e-05, Wrong Period,  32.243618695064555 d, 0.57639 d, Wrong t0 value, Transit not found
Planet A2.7,  34.36208688836762, 217.66616 d, 0.06781573770078353, Wrong Period,  7.802377873597643 d, 70.93621 d, Wrong t0 value, Transit not found
Planet A2.8,  19.17148491075119, 73.14517 d, 0.015843705539012376, Wrong Period,  3.970053643769755 d, 46.64299 d, Wrong t0 value, Transit not found
Planet A2.9,  68.34301262888687, 191.72764 d, 0.08590794008901526, Wrong Period,  54.53251568683126 d, 122.81136 d, Wrong t0 value, Transit not found
Planet A2.10,  14.26701363855013, 149.64438 d, 0.12349149835625894, Wrong Period,  9.018866508092684 d, 134.76987 d, Wrong t0 value, Transit not found
Planet A2.11,  50.43832481887109, 81.10903 d, 0.027272684084799437, Wrong Period,  15.234484932443799 d, 53.36979 d, Wrong t0 value, Transit not found
Planet A2.12,  56.40060593373834, 2.08451 d, 0.00020686544102077598, Wrong Period,  26.921453785045827 d, 1.04988 d, Wrong t0 value, Transit not found
Planet A2.13,  2.1930509068475157, 27.58906 d, 0.00431775921251365, Wrong Period,  0.36078247269354424 d, 2.68287 d, Correct t0 value, Transit not found
Planet A2.14,  54.40051376321995, 1.11012 d, 5.953427598914818e-05, Wrong Period,  53.73592112696109 d, 0.57639 d, Wrong t0 value, Transit not found
Planet A2.15,  19.691853222219247, 1.35103 d, 7.735662647978536e-05, Wrong Period,  6.206478614743417 d, 1.30136 d, Correct t0 value, Transit not found
Planet A2.16,  51.75950534025797, 1.35103 d, 7.735662647978536e-05, Wrong Period,  11.191218590299279 d, 0.80697 d, Wrong t0 value, Transit not found
Planet A2.17,  1.093699424328537, 217.66616 d, 0.06781573770078353, Wrong Period,  0.8059718861812903 d, 70.93621 d, Wrong t0 value, Transit not found
Planet A2.18,  42.53405520039744, 217.66616 d, 0.06781573770078353, Wrong Period,  18.83476663319832 d, 70.93621 d, Wrong t0 value, Transit not found
Planet A2.19,  10.893707988055834, 2.08451 d, 0.00020686544102077598, Wrong Period,  1.6520006020961902 d, 1.87453 d, Correct t0 value, Transit not found
Planet A2.20,  54.861885729658034, 215.17614 d, 0.23369339753662643, Wrong Period,  31.408773147083696 d, 154.49920 d, Wrong t0 value, Transit not found
Planet A2.21,  39.36861384458373, 215.17614 d, 0.23369339753662643, Wrong Period,  19.733582527098488 d, 154.48152 d, Wrong t0 value, Transit not found
Planet A2.22,  38.35232980036919, 27.58906 d, 0.00431775921251365, Wrong Period,  34.0937727002682 d, 2.68287 d, Wrong t0 value, Transit not found
Planet A2.23,  24.128427661266137, 83.50080 d, 0.047250302416763645, Wrong Period,  13.088228669467233 d, 0.39926 d, Wrong t0 value, Transit not found
Planet A2.24,  59.09534823823332, 1.35103 d, 7.735662647978536e-05, Wrong Period,  12.308019694433245 d, 1.30058 d, Wrong t0 value, Transit not found
Planet A2.25,  60.99620428872302, 73.14517 d, 0.015843705539012376, Wrong Period,  31.953012646967963 d, 46.60692 d, Wrong t0 value, Transit not found
Planet A2.26,  73.71286046638036, 1.11012 d, 5.953427598914818e-05, Wrong Period,  51.49781986243121 d, 0.57639 d, Wrong t0 value, Transit not found
Planet A2.27,  45.543780124106156, 72.59343 d, 0.023523451092231085, Wrong Period,  11.470211266732544 d, 4.21859 d, Wrong t0 value, Transit not found
Planet A2.28,  5.566929473620114, 27.58906 d, 0.00431775921251365, Wrong Period,  3.854545583986205 d, 2.68287 d, Correct t0 value, Transit not found
Planet A2.29,  5.7390881774640325, 27.58906 d, 0.00431775921251365, Wrong Period,  4.350809759818142 d, 2.68287 d, Correct t0 value, Transit not found
Planet A2.30,  17.142830235612866, 4.88967 d, 0.0004298482404396786, Wrong Period,  13.89637594991541 d, 2.03229 d, Wrong t0 value, Transit not found
Planet A2.31,  38.605373087459455, 4.88967 d, 0.0004298482404396786, Wrong Period,  32.99200375041501 d, 2.03753 d, Wrong t0 value, Transit not found
Planet A2.32,  10.09179020546513, 62.09680 d, 0.012736053815672221, Wrong Period,  10.089261323812815 d, 8.71999 d, Correct t0 value, Transit not found
Planet A2.33,  0.4081778116097279, 1.11012 d, 5.953427598914818e-05, Correct Period,  0.14277008346953385 d, 0.57639 d, Correct t0 value, Found Correct Transit
Planet A2.34,  36.48533881066743, 72.59343 d, 0.023523451092231085, Wrong Period,  25.395466712126005 d, 4.21859 d, Wrong t0 value, Transit not found
Planet A2.35,  25.290884559797554, 4.88967 d, 0.0004298482404396786, Wrong Period,  16.368874525336583 d, 2.03733 d, Wrong t0 value, Transit not found
Planet A2.36,  43.34166004864385, 72.59343 d, 0.023523451092231085, Wrong Period,  11.196562952145587 d, 4.21859 d, Wrong t0 value, Transit not found
Planet A2.37,  22.518226592634036, 38.81625 d, 0.010211810424493706, Wrong Period,  5.41094164412971 d, 12.34638 d, Wrong t0 value, Transit not found
Planet A2.38,  12.567692154857724, 1.35103 d, 7.735662647978536e-05, Wrong Period,  4.910091705601072 d, 0.06060 d, Correct t0 value, Transit not found
Planet A2.39,  55.52300774875025, 1.11012 d, 5.953427598914818e-05, Wrong Period,  50.35632758362271 d, 0.57639 d, Wrong t0 value, Transit not found
Planet A2.40,  59.96571479740467, 2.08451 d, 0.00020686544102077598, Wrong Period,  38.571803549350285 d, 1.04936 d, Wrong t0 value, Transit not found
Planet A2.41,  11.361921244984494, 2.08451 d, 0.00020686544102077598, Wrong Period,  2.946639551696215 d, 1.87453 d, Correct t0 value, Transit not found
Planet A2.42,  46.65114227280947, 1.11012 d, 5.953427598914818e-05, Wrong Period,  7.504696149017891 d, 0.57639 d, Wrong t0 value, Transit not found
Planet A2.43,  34.34310987856567, 1.11012 d, 5.953427598914818e-05, Wrong Period,  11.025916596331271 d, 0.50996 d, Wrong t0 value, Transit not found
Planet A2.44,  50.906454260283496, 1.35103 d, 7.735662647978536e-05, Wrong Period,  35.08869172897926 d, 0.80741 d, Wrong t0 value, Transit not found
Planet A2.45,  18.97902237223774, 27.58906 d, 0.00431775921251365, Wrong Period,  5.957286506189671 d, 2.68287 d, Correct t0 value, Transit not found
Planet A2.46,  0.11056488763458994, 215.17614 d, 0.23369339753662643, Wrong Period,  0.029435648437543458 d, 154.48152 d, Wrong t0 value, Transit not found
Planet A2.47,  51.38005240550456, 72.59343 d, 0.03136008521040168, Wrong Period,  28.452566252741132 d, 4.21859 d, Wrong t0 value, Transit not found
Planet A2.48,  35.786427879160684, 191.72764 d, 0.08590794008901526, Wrong Period,  15.431488255413093 d, 122.81136 d, Wrong t0 value, Transit not found
Planet A2.49,  61.62750291225967, 72.59343 d, 0.03136008521040168, Wrong Period,  18.562472612552188 d, 4.21859 d, Wrong t0 value, Transit not found
Planet A2.50,  41.71249776297748, 72.59343 d, 0.023523451092231085, Wrong Period,  18.070771078387814 d, 4.21859 d, Wrong t0 value, Transit not found
Planet A2.51,  68.04675732743745, 38.81625 d, 0.010211810424493706, Wrong Period,  47.53830183019698 d, 12.32086 d, Wrong t0 value, Transit not found
Planet A2.52,  16.28259698082262, 1.35103 d, 7.735662647978536e-05, Wrong Period,  13.13689112509839 d, 0.06060 d, Wrong t0 value, Transit not found
Planet A2.53,  10.303871606196752, 62.09680 d, 0.012736053815672221, Wrong Period,  6.632946359708914 d, 8.71999 d, Correct t0 value, Transit not found
