Planet number, Real Period, Calculated Period, Period uncertainty, Result, Real t0, t0 calculated, t0 result, TLS outcome, F8 star
Planet A6.7,  16.527386062077166, 16.52804 d, 0.0065417243541840975, Correct Period,  9.121503187822155 d, 9.10963 d, Correct t0 value, Found Correct Transit
Planet A6.8,  6.582273581929241, 6.58211 d, 0.002236275960562306, Correct Period,  6.094736730506329 d, 6.10586 d, Correct t0 value, Found Correct Transit
Planet A6.9,  60.19061328598672, 60.18825 d, 0.04886729496311304, Correct Period,  30.085278556211456 d, 30.10185 d, Correct t0 value, Found Correct Transit
Planet A6.10,  22.19704285101855, 22.19736 d, 0.011307596240106577, Correct Period,  18.545542837678187 d, 18.54067 d, Correct t0 value, Found Correct Transit
Planet B1.1,  149.4383722595833, 85.88932 d, 0.019627342720944796, Wrong Period,  58.03997401542308 d, 32.77876 d, Wrong t0 value, Transit not found
Planet B1.2,  135.3967404429616, 360.16453 d, 0.7971181323171095, Wrong Period,  62.90585947390637 d, 358.99891 d, Wrong t0 value, Transit not found
Planet B1.3,  130.3807076296276, 360.29728 d, 1.128975298023363, Wrong Period,  85.25666887528662 d, 359.44147 d, Wrong t0 value, Transit not found
Planet B1.4,  97.37351898175164, 359.76665 d, 0.927234541296599, Wrong Period,  72.65131683231901 d, 314.32832 d, Wrong t0 value, Transit not found
Planet B1.5,  139.57861326861928, 10.57827 d, 0.0018042074749571313, Wrong Period,  116.18047943402597 d, 9.35647 d, Wrong t0 value, Transit not found
Planet B1.6,  148.7256621085861, 360.29728 d, 1.2611771681359585, Wrong Period,  62.51486910958319 d, 359.44147 d, Wrong t0 value, Transit not found
Planet B1.7,  111.4031989415897, 10.57827 d, 0.0018042074749571313, Wrong Period,  92.5505515070054 d, 9.35647 d, Wrong t0 value, Transit not found
Planet B1.8,  110.90423463721766, 4.75507 d, 0.0006211807548703874, Wrong Period,  101.25351283733673 d, 1.36450 d, Wrong t0 value, Transit not found
